 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
99,106.192,106.232,106.914,108.157,106.269,125.270,106.515,109.925,114.296,108.785,108.143,108.010,107.361,108.766,106.467,107.404,116.397,111.232,117.492,115.672
100,106.206,105.977,106.569,107.752,107.400,121.661,108.274,109.739,113.879,108.878,110.615,108.113,107.556,108.561,107.426,107.475,115.061,110.550,116.207,114.691
101,106.147,105.733,106.196,107.346,107.268,119.110,112.945,109.543,113.302,108.764,112.693,108.043,107.560,108.220,108.192,107.413,113.854,110.124,115.207,114.236
102,106.146,105.613,105.926,107.060,107.042,117.300,112.460,109.358,112.887,108.738,112.026,108.151,107.583,107.979,107.963,107.485,112.997,109.808,114.425,116.675
103,106.108,105.488,105.747,106.899,106.858,115.984,111.261,109.202,112.461,108.737,111.247,108.106,107.566,107.773,107.745,107.472,112.366,110.425,113.761,121.856
104,106.151,105.395,105.524,110.988,106.538,116.072,110.166,109.059,112.014,108.771,110.592,108.056,107.545,107.567,107.518,107.460,113.109,114.446,119.145,120.356
105,106.107,105.333,105.471,114.652,106.317,125.551,109.459,109.015,111.670,111.471,110.102,108.113,107.537,107.581,107.376,107.468,119.980,114.174,121.507,118.481
106,106.156,105.244,105.327,113.555,106.104,125.911,108.736,108.801,111.404,112.561,109.614,108.083,107.498,107.378,107.185,107.412,119.387,112.772,119.533,117.142
107,106.161,105.191,105.225,112.062,105.983,122.398,108.282,108.775,111.108,112.185,109.342,108.077,107.567,107.205,107.053,107.453,117.146,111.803,117.810,115.877
108,106.095,105.310,105.178,111.059,105.809,119.769,107.857,108.718,110.987,111.674,109.137,108.031,107.546,107.210,106.869,107.441,115.487,111.160,116.363,115.110
109,106.079,106.956,105.358,109.859,105.663,117.520,107.457,108.628,110.734,111.067,108.799,108.088,107.446,107.054,106.782,107.409,114.185,110.326,115.139,114.294
